사용년월	승차역	하차역	사용자	이용인원
201502	201	201	일반	645
201502	201	201	일반	153
201502	201	201	장애인	145
201502	201	201	경로	425
201502	201	201	장애인	15
201502	201	201	경로	23
201502	201	201	일반	1235
201502	201	201	일반	10
201502	201	201	청소년	73
201502	201	202	경로	754
201502	201	202	일반	928
201502	201	202	장애인	199
201502	201	202	청소년	173
201502	201	202	장애인	30
201502	201	202	일반	24
201502	201	202	경로	32
201502	201	202	일반	6119
201502	201	202	일반	2624
201502	201	203	일반	2
201502	201	203	경로	1
201502	201	203	일반	392
201502	201	203	장애인	147
201502	201	203	청소년	59
201502	201	203	일반	1304
201502	201	203	장애인	24
201502	201	203	경로	56
201502	201	203	일반	3385
201502	201	203	일반	30
201502	201	203	경로	661
201502	201	204	경로	695
201502	201	204	장애인	19
201502	201	204	일반	1
201502	201	204	장애인	2
201502	201	204	경로	2
201502	201	204	일반	235
201502	201	204	장애인	112
201502	201	204	일반	17
201502	201	204	일반	1215
201502	201	204	경로	46
201502	201	204	일반	1804
201502	201	204	청소년	45
201502	201	205	청소년	1
201502	201	205	일반	5
201502	201	205	일반	381
201502	201	205	장애인	97
201502	201	205	경로	306
201502	201	205	일반	3184
201502	201	205	장애인	14
201502	201	205	경로	14
201502	201	205	일반	3269
201502	201	205	일반	67
201502	201	205	청소년	206
201502	201	206	일반	6
201502	201	206	일반	400
201502	201	206	장애인	89
201502	201	206	경로	567
201502	201	206	청소년	182
201502	201	206	일반	63
201502	201	206	일반	1625
201502	201	206	장애인	47
201502	201	206	경로	32
201502	201	206	일반	3696
201502	201	206	청소년	1
201502	201	207	경로	16
201502	201	207	일반	333
201502	201	207	장애인	60
201502	201	207	경로	220
201502	201	207	청소년	67
201502	201	207	일반	10
201502	201	207	장애인	5
201502	201	207	일반	2451
201502	201	207	일반	600
201502	201	208	일반	1350
201502	201	208	일반	1
201502	201	208	일반	521
201502	201	208	장애인	48
201502	201	208	경로	208
201502	201	208	장애인	18
201502	201	208	경로	4
201502	201	208	일반	4475
201502	201	208	일반	13
201502	201	208	청소년	165
201502	201	209	일반	490
201502	201	209	일반	168
201502	201	209	장애인	16
201502	201	209	경로	89
201502	201	209	일반	8
201502	201	209	장애인	2
201502	201	209	경로	4
201502	201	209	일반	1632
201502	201	209	청소년	53
201502	201	210	일반	678
201502	201	210	일반	3
201502	201	210	일반	331
201502	201	210	장애인	50
201502	201	210	경로	217
201502	201	210	장애인	26
201502	201	210	경로	7
201502	201	210	일반	2832
201502	201	210	일반	8
201502	201	210	청소년	66
201502	201	211	일반	3156
201502	201	211	일반	436
201502	201	211	청소년	41
201502	201	211	장애인	107
201502	201	211	일반	1
201502	201	211	경로	269
201502	201	211	일반	967
201502	201	211	경로	13
201502	201	211	일반	13
201502	201	211	장애인	15
201502	201	212	일반	2341
201502	201	212	일반	984
201502	201	212	장애인	92
201502	201	212	경로	253
201502	201	212	일반	2
201502	201	212	장애인	15
201502	201	212	경로	20
201502	201	212	일반	7758
201502	201	212	일반	81
201502	201	212	청소년	339
201502	201	213	일반	594
201502	201	213	장애인	77
201502	201	213	경로	289
201502	201	213	청소년	52
201502	201	213	일반	1097
201502	201	213	장애인	24
201502	201	213	경로	40
201502	201	213	일반	32
201502	201	213	일반	3983
201502	201	214	장애인	38
201502	201	214	경로	465
201502	201	214	청소년	1
201502	201	214	일반	9
201502	201	214	장애인	2
201502	201	214	일반	1120
201502	201	214	장애인	70
201502	201	214	일반	37
201502	201	214	일반	2203
201502	201	214	경로	12
201502	201	214	일반	7490
201502	201	214	청소년	355
201502	201	215	일반	624
201502	201	215	일반	638
201502	201	215	장애인	27
201502	201	215	경로	236
201502	201	215	일반	5
201502	201	215	장애인	6
201502	201	215	경로	19
201502	201	215	일반	4230
201502	201	215	일반	22
201502	201	215	청소년	55
201502	201	216	경로	535
201502	201	216	일반	10
201502	201	216	경로	2
201502	201	216	일반	1635
201502	201	216	장애인	75
201502	201	216	청소년	474
201502	201	216	일반	3342
201502	201	216	장애인	44
201502	201	216	경로	40
201502	201	216	일반	38
201502	201	216	일반	10252
201502	201	217	경로	237
201502	201	217	일반	1
201502	201	217	일반	692
201502	201	217	장애인	37
201502	201	217	청소년	93
201502	201	217	일반	13
201502	201	217	장애인	28
201502	201	217	경로	29
201502	201	217	일반	4233
201502	201	217	일반	748
201502	201	218	경로	2
201502	201	218	일반	274
201502	201	218	장애인	9
201502	201	218	경로	145
201502	201	218	청소년	62
201502	201	218	일반	312
201502	201	218	장애인	1
201502	201	218	경로	12
201502	201	218	일반	1360
201502	201	219	일반	1364
201502	201	219	장애인	47
201502	201	219	경로	188
201502	201	219	일반	557
201502	201	219	장애인	16
201502	201	219	경로	10
201502	201	219	일반	3957
201502	201	219	일반	23
201502	201	219	청소년	85
201502	201	220	일반	519
201502	201	220	일반	236
201502	201	220	장애인	23
201502	201	220	경로	149
201502	201	220	장애인	7
201502	201	220	경로	3
201502	201	220	일반	1691
201502	201	220	일반	10
201502	201	220	청소년	39
201502	201	221	청소년	24
201502	201	221	일반	345
201502	201	221	경로	8
201502	201	221	장애인	45
201502	201	221	일반	4
201502	201	221	경로	163
201502	201	221	일반	626
201502	201	221	장애인	10
201502	201	221	일반	2233
201502	201	221	일반	12
201502	201	222	일반	1173
201502	201	222	청소년	1
201502	201	222	일반	3
201502	201	222	일반	399
201502	201	222	장애인	53
201502	201	222	경로	128
201502	201	222	장애인	5
201502	201	222	경로	14
201502	201	222	일반	3219
201502	201	222	일반	12
201502	201	222	청소년	134
201502	201	223	청소년	31
201502	201	223	일반	1533
201502	201	223	일반	160
201502	201	223	장애인	37
201502	201	223	경로	223
201502	201	223	일반	11
201502	201	223	경로	22
201502	201	223	장애인	12
201502	201	223	일반	414
201502	201	224	일반	168
201502	201	224	장애인	16
201502	201	224	경로	165
201502	201	224	장애인	2
201502	201	224	경로	16
201502	201	224	일반	445
201502	201	224	일반	4
201502	201	224	일반	50
201502	201	224	청소년	7
201502	201	225	장애인	5
201502	201	225	일반	37
201502	201	225	경로	52
201502	201	225	청소년	15
201502	201	225	장애인	11
201502	201	225	경로	7
201502	201	225	일반	1
201502	201	225	일반	391
201502	201	225	일반	130
201502	201	226	일반	80
201502	201	226	장애인	13
201502	201	226	경로	44
201502	201	226	청소년	34
201502	201	226	일반	141
201502	201	226	일반	2
201502	201	226	장애인	3
201502	201	226	경로	3
201502	201	226	일반	572
201502	201	226	일반	6
201502	201	227	장애인	31
201502	201	227	일반	148
201502	201	227	경로	103
201502	201	227	청소년	35
201502	201	227	일반	371
201502	201	227	장애인	17
201502	201	227	경로	5
201502	201	227	일반	5
201502	201	227	일반	1503
201502	201	228	일반	2338
201502	201	228	일반	346
201502	201	228	청소년	114
201502	201	228	일반	2
201502	201	228	장애인	48
201502	201	228	경로	184
201502	201	228	일반	746
201502	201	228	경로	15
201502	201	228	일반	14
201502	201	228	장애인	12
201502	201	229	일반	388
201502	201	229	일반	176
201502	201	229	장애인	63
201502	201	229	경로	221
201502	201	229	장애인	18
201502	201	229	경로	8
201502	201	229	일반	1519
201502	201	229	일반	8
201502	201	229	청소년	61
201502	201	230	청소년	282
201502	201	230	경로	562
201502	201	230	청소년	1
201502	201	230	일반	3
201502	201	230	일반	881
201502	201	230	일반	36
201502	201	230	일반	1965
201502	201	230	장애인	40
201502	201	230	경로	22
201502	201	230	일반	6885
201502	201	230	장애인	121
201502	201	231	일반	466
201502	201	231	장애인	55
201502	201	231	경로	333
201502	201	231	청소년	164
201502	201	231	일반	1121
201502	201	231	장애인	40
201502	201	231	경로	20
201502	201	231	일반	2852
201502	201	231	일반	23
201502	201	232	청소년	240
201502	201	232	일반	7364
201502	201	232	일반	1
201502	201	232	일반	904
201502	201	232	장애인	84
201502	201	232	경로	384
201502	201	232	일반	2622
201502	201	232	일반	44
201502	201	232	경로	12
201502	201	232	장애인	69
201502	201	232	청소년	1
201502	201	233	일반	531
201502	201	233	일반	2
201502	201	233	장애인	60
201502	201	233	경로	307
201502	201	233	청소년	73
201502	201	233	장애인	6
201502	201	233	경로	30
201502	201	233	일반	3642
201502	201	233	청소년	1
201502	201	233	일반	99
201502	201	233	일반	2267
201502	201	234	일반	1299
201502	201	234	일반	2
201502	201	234	일반	784
201502	201	234	장애인	80
201502	201	234	경로	312
201502	201	234	일반	30
201502	201	234	장애인	5
201502	201	234	경로	13
201502	201	234	일반	6445
201502	201	234	청소년	115
201502	201	235	청소년	146
201502	201	235	일반	611
201502	201	235	장애인	53
201502	201	235	경로	408
201502	201	235	일반	663
201502	201	235	일반	26
201502	201	235	장애인	40
201502	201	235	경로	18
201502	201	235	일반	4728
201502	201	236	일반	849
201502	201	236	장애인	76
201502	201	236	경로	357
201502	201	236	일반	654
201502	201	236	장애인	25
201502	201	236	경로	12
201502	201	236	일반	4154
201502	201	236	일반	27
201502	201	236	청소년	69
201502	201	237	청소년	208
201502	201	237	일반	3
201502	201	237	일반	1433
201502	201	237	장애인	125
201502	201	237	경로	643
201502	201	237	일반	1820
201502	201	237	장애인	48
201502	201	237	경로	46
201502	201	237	일반	53
201502	201	237	일반	10529
201502	201	238	청소년	284
201502	201	238	일반	1206
201502	201	238	일반	2
201502	201	238	장애인	162
201502	201	238	경로	648
201502	201	238	일반	36
201502	201	238	일반	9184
201502	201	238	청소년	1
201502	201	238	경로	43
201502	201	238	장애인	72
201502	201	238	일반	2403
201502	201	239	일반	19
201502	201	239	청소년	1895
201502	201	239	경로	1
201502	201	239	일반	2268
201502	201	239	장애인	228
201502	201	239	경로	993
201502	201	239	일반	102
201502	201	239	일반	9605
201502	201	239	장애인	51
201502	201	239	경로	49
201502	201	239	일반	18030
201502	201	239	청소년	5
201502	201	239	청소년	9
201502	201	240	경로	1160
201502	201	240	장애인	253
201502	201	240	일반	1642
201502	201	240	일반	7
201502	201	240	청소년	2
201502	201	240	청소년	614
201502	201	240	일반	5714
201502	201	240	장애인	40
201502	201	240	경로	92
201502	201	240	일반	14357
201502	201	240	청소년	2
201502	201	240	일반	66
201502	201	241	경로	574
201502	201	241	일반	2
201502	201	241	일반	4562
